start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
595,Car,33,Engine,24.46,368
595,Car,12,Engine,21.31,417
596,Car,33,Engine,25.39,350
597,Car,33,Engine,25.68,345
598,Car,33,Engine,19.06,466
598,Car,28,Engine,16.45,545
599,Car,36,Engine,34.9,257
600,Car,33,Engine,28.24,314
601,Car,39,Engine,27,329
602,Car,14,Engine,29.76,297
603,Car,33,Engine,25,353
604,Car,50,Engine,24.04,423
605,Car,12,Engine,21.37,416
606,Car,24,Engine,10.92,802
607,Car,33,Engine,23.77,370
608,Car,20,Engine,16.17,558
609,Car,54,Engine,16.12,556
610,Car,12,Engine,21.29,417
611,Car,33,Engine,20.86,425
612,Car,36,Engine,28.8,309
612,Car,6,Engine,29.88,301
613,Car,37,Engine,23.5,377
614,Car,29,Engine,31,287
615,Car,50,Engine,20.02,444.5
616,Car,56,Engine,14.12,624
617,Car,20,Engine,16.13,552
618,Car,44,Engine,21.12,432
619,Car,25,Engine,23.79,372
620,Car,50,Engine,18.7,472
621,Car,53,Engine,16.91,522
622,Car,23,Engine,15.42,572
623,Car,53,Engine,16.91,522
624,Car,33,Engine,26.31,334
625,Car,4,Engine,22.46,396
626,Car,11,Engine,19.74,448
627,Car,6,Engine,31.2,284
628,Car,50,Engine,18.48,477
629,Car,48,Engine,20,441
630,Car,33,Engine,28.61,311
630,Car,4,Engine,30.68,290
631,Car,42,Engine,22.96,383
632,Car,56,Engine,14.12,624
633,Car,33,Engine,26.76,329
634,Car,33,Engine,20.86,425
635,Car,33,Engine,24.94,357
636,Car,50,Engine,19.36,469
637,Car,50,Engine,19.79,451
638,Car,4,Engine,29.55,300
638,Car,6,Engine,31.01,287
639,Car,33,Engine,23.67,373
640,Car,33,Engine,22.89,387
641,Car,44,Engine,20.65,430.33
642,Car,50,Engine,23.28,379
643,Car,50,Engine,22.64,388
644,Car,33,Engine,29.1,305.5
645,Car,48,Engine,19.14,463
645,Car,33,Engine,24.41,364
646,Car,52,Engine,15.68,562
647,Car,35,Engine,28,318
