id,mfr_name,car_division,carline
259,General Motors,Chevrolet,SILVERADO 4WD ZR2
260,Porsche,Porsche,Macan S
261,Ford Motor Company,Ford,F150 PICKUP 4WD HEV
262,General Motors,Cadillac,ESCALADE 2WD
263,Toyota,TOYOTA,CAMRY XSE
264,Volkswagen Group of,Audi,R8 Spyder RWD
265,Hyundai,HYUNDAI MOTOR COMPANY,Palisade AWD
266,MAZDA,MAZDA,MAZDA3 5-Door 4WD
267,Hyundai,HYUNDAI MOTOR COMPANY,Ioniq
268,Honda,Honda,INSIGHT TOURING
269,Mercedes-Benz,Mercedes-Benz,AMG CLA 45 4MATIC
270,Volvo,"Volvo Cars of North America, LLC",XC40 T5 AWD
271,Mercedes-Benz,Mercedes-Benz,E 350
272,MAZDA,MAZDA,MAZDA3 4-Door 4WD
273,BMW,Mini,JOHN COOPER WORKS CLUBMAN ALL4
274,Ford Motor Company,Ford,F150 PICKUP TREMOR 4WD
275,BMW,BMW,ALPINA XB7
276,Subaru,Subaru,WRX
277,Toyota,TOYOTA,HIGHLANDER HYBRID
278,Maserati,MASERATI,QUATTROPORTE MODENA AWD
279,Honda,Acura,TLX Type-S
280,Maserati,MASERATI,GHIBLI MODENA RWD
281,General Motors,GMC,YUKON XL 2WD
282,General Motors,Chevrolet,COLORADO 4WD
283,General Motors,Buick,ENVISION AWD
284,Kia,KIA,Telluride AWD
285,BMW,BMW,M4CompetitionMxDriveConvertible
286,Jaguar Land Rover L,Land Rover,Range Rover
287,Nissan,INFINITI,QX80 4WD
288,Honda,Honda,CR-V AWD
289,Mercedes-Benz,Mercedes-Benz,AMG GLE 53 4MATIC+ (coupe)
290,Mercedes-Benz,Mercedes-Benz,A 220
291,Volkswagen Group of,Bentley,Continental GT V8 Convertible
292,Jaguar Land Rover L,Land Rover,Defender 90 MHEV
293,Volkswagen Group of,Lamborghini,Huracan Coupe RWD
294,Ford Motor Company,Ford,EXPLORER RWD
295,Honda,Honda,PILOT AWD
296,Honda,Honda,PILOT FWD
297,Porsche,Porsche,Panamera GTS
298,Mercedes-Benz,Mercedes-Benz,AMG C 43 4MATIC (convertible)
299,Rolls-Royce,Rolls-Royce Motor Cars Limited,Ghost
300,Mercedes-Benz,Mercedes-Benz,AMG A 35 4MATIC
301,Jaguar Land Rover L,Land Rover,Discovery Sport
302,FCA US LLC,Jeep,Cherokee Trailhawk 4X4
303,Nissan,INFINITI,QX60 FWD
304,Porsche,Porsche,Cayenne Turbo Coup?
305,Mitsubishi Motors Co,Mitsubishi Motors Corporation,ECLIPSE CROSS 4WD
306,Jaguar Land Rover L,Land Rover,Discovery MHEV
307,Jaguar Land Rover L,Land Rover,Defender 110
308,Kia,KIA,Sportage FWD
309,Toyota,LEXUS,ES 300h
310,MAZDA,MAZDA,MX-5
311,General Motors,Cadillac,XT5 AWD
312,Porsche,Porsche,Panamera 4 Executive
313,Volvo,"Volvo Cars of North America, LLC",S90 B6 AWD
314,MAZDA,MAZDA,CX-30 4WD
315,Toyota,TOYOTA,CAMRY XLE/XSE
316,General Motors,GMC,CANYON 4WD
317,Mercedes-Benz,Mercedes-Benz,GLE 450 4MATIC
318,Toyota,LEXUS,RX 350
319,Mercedes-Benz,Mercedes-Benz,GLS 450 4MATIC
320,BMW,BMW,X4 M
321,BMW,BMW,740i xDrive Sedan
322,Toyota,TOYOTA,COROLLA XLE
323,Mercedes-Benz,Mercedes-Benz,GLS 580 4MATIC
324,Jaguar Land Rover L,Jaguar,XF P300 AWD
325,FCA US LLC,Jeep,Wrangler 2dr 4X4
326,Ford Motor Company,Ford,BRONCO SPORT 4WD
327,Toyota,LEXUS,NX 350h AWD
328,Honda,Honda,PASSPORT FWD
329,BMW,BMW,M550i xDrive Sedan
330,BMW,BMW,M440i xDrive Gran Coupe
331,Ford Motor Company,Ford,F150 PICKUP 4WD FFV
332,Toyota,TOYOTA,COROLLA HATCHBACK
333,FCA US LLC,Jeep,Wrangler Rubic 4dr EcoDiesel 4x4
334,General Motors,GMC,YUKON 2WD
335,BMW,BMW,X5 M
336,FCA US LLC,Jeep,Wrangler 4dr EcoDiesel 4x4
337,Ford Motor Company,Lincoln,NAVIGATOR 2WD
338,Ford Motor Company,Ford,RANGER TREMOR 4WD
339,BMW,BMW,X1 sDrive28i
340,Porsche,Porsche,911 Carrera GTS
